Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T22:18:03.777Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00560,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00560,,,,,,,,,,,
2019-11-21T22:18:03.748Z,user_fyf,10.67.59.18,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00218,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00218,,,,,,,,,,,
2019-11-21T22:18:03.746Z,user_fyf,10.67.59.18,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00218,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00218,,,,,,,,,,,
2019-11-21T22:18:03.738Z,user_fyf,10.67.59.25,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00815,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00815,,,,,,,,,,,
2019-11-21T22:18:03.737Z,user_fyf,10.67.59.25,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00815,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00815,,,,,,,,,,,
2019-11-21T22:18:03.736Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00400,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00400,,,,,,,,,,,
2019-11-21T22:18:03.715Z,nagios,10.67.59.27,,,,true,,,,,,,,,,,,,,,,,,
2019-11-21T22:18:03.705Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00037,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00037,,,,,,,,,,,
2019-11-21T22:18:03.703Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00037,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00037,,,,,,,,,,,
2019-11-21T22:18:03.703Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00309,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00309,,,,,,,,,,,
2019-11-21T22:18:03.683Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00400,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00400,,,,,,,,,,,
2019-11-21T22:18:03.679Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00309,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00309,,,,,,,,,,,
2019-11-21T22:18:03.669Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00216,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00216,,,,,,,,,,,
2019-11-21T22:18:03.645Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00660,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00660,,,,,,,,,,,
2019-11-21T22:18:03.635Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00013,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00013,,,,,,,,,,,
2019-11-21T22:18:03.633Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00660,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00660,,,,,,,,,,,
2019-11-21T22:18:03.627Z,user_fyf,10.67.59.17,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00568,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00568,,,,,,,,,,,
2019-11-21T22:18:03.620Z,nagios,10.67.59.27,,,,true,,,,,,,,,,,,,,,,,,
2019-11-21T22:18:03.617Z,user_fyf,10.67.59.17,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00568,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00568,,,,,,,,,,,
2019-11-21T22:18:03.606Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00036,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00036,,,,,,,,,,,
2019-11-21T22:18:03.604Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00036,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00036,,,,,,,,,,,
